"","unique_id","metric1","metric2","metric6","metric3","metric4","metric5","binary_var1","dayHourMinute","binary_var2","page1_top","page1_exits","visited_page1","page2_top","page2_exits","visited_page2","page3_top","page3_exits","visited_page3","page4_top","page4_exits","visited_page4","page5_top","page5_exits","visited_page5","page6_top","page6_exits","visited_page6"
"class","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
"n","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841","347841"
"nmiss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"outlier_flag.99%","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE"
"mean","173921","3.72762267817767","1.24703240848549","3.98561699167148","64.4224632596273","215.613377546188","47.0150568589128","0.224625619176578","201710492230.646","0.336438200212166","0.803833479570848","-0.978081939736834","0.0149407344160119","0.00840851610299245","-0.999721136956253","0.000106370439367412","6.04551149891628","-0.869469096512487","0.0824284658795254","0.867374422272383","-0.973542509364911","0.0173067579727519","0.148795895261867","-0.997162496657956","0.00191466790861342","33.585226022106","-0.243714800727919","0.444266202086586"
"median","173921","0","1","2","0","9","20","0","2.0171e+11","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0"
"stdev","100413.191830058","15.3403753402276","0.742563173546771","8.26620176027299","156.487372628021","516.421616162288","48.4734266363458","0.417336136827163","499940.352122225","0.47249145967008","19.0648037883385","0.190618400533911","0.121315914793846","1.41925445691948","0.0292192245199186","0.0103130708553415","54.2898396281611","0.470035227820518","0.275016783726677","17.6553488783967","0.211349377653373","0.130411974124567","9.38646956469661","0.0690027736708319","0.0437150711920273","122.402666223772","0.958594436209684","0.496884748771049"
"min","1","0","1","0","0","0","0","0","2.0171e+11","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0"
"q1.25%","86961","0","1","1","0","0","0","0","2.0171e+11","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0"
"q2.50%","173921","0","1","2","0","9","20","0","2.0171e+11","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0"
"q3.75%","260881","0","1","4","62","210","100","0","2.01711e+11","1","0","-1","0","0","-1","0","0","-1","0","0","-1","0","0","-1","0","3","1","1"
"p99.99%","344362.6","87","5","33","768","2492","100","1","2.01711e+11","1","5.71666666679806","0","1","0","-1","0","146.918055559999","1","1","6","0","1","0","-1","0","581","2","1"
"max","347841","182","23","499","5218","15960","100","1","2.01711e+11","1","1772","4","1","475","5","1","2891","14","1","1867","4","1","1870","3","1","9246","10","1"
"UC","475160.575490174","49.7487486988605","3.4747219291258","28.7842222724905","533.884581143691","1764.87822603305","192.43533676795","1.47663402965807","201711992051.702","1.75391257922241","57.9982448445865","-0.4062267381351","0.37888847879755","4.26617188686144","-0.912063463396497","0.0310455830053918","168.915030383399","0.540636586949067","0.907478817059556","53.8334210574624","-0.339494376404793","0.408542680346454","28.3082045893517","-0.79015417564546","0.133059881484695","400.793224693422","2.63206850790113","1.93492044839973"
"LC","-127318.575490174","-42.2935033425051","-0.980657112154827","-20.8129882891475","-405.039654624437","-1333.65147094068","-98.4052230501245","-1.02738279130491","201708992409.589","-1.08103617879807","-56.3905778854448","-1.54993714133857","-0.349007009965526","-4.24935485465545","-1.08737881051601","-0.030832842126657","-156.824007385567","-2.27957477997404","-0.742621885300506","-52.0986722129176","-1.60759064232503","-0.37392916440095","-28.010612798828","-1.20417081767045","-0.129230545667468","-333.62277264921","-3.11949810935697","-1.04638804422656"
