"","MR2","MR1","MR3","MR6","MR4","MR5","MR8","MR7"
"CASH_ADVANCE_AMT",0.935645612108873,0.0291558451482377,-0.0293792229522089,0.0878645766324304,-0.111648353450954,0.00689079070911032,-0.0595978127464759,-0.00483404661078961
"CASH_ADVANCE",0.89151015768276,-0.0468321393874135,-0.00523632836812293,0.152372697525363,-0.0821704406138681,0.000982265638965273,-0.0376032949058606,0.0604795442898176
"CASH_ADVANCE_TRX",0.880849370665886,-0.0436797640079277,0.0638607780246155,-0.0703113912473975,0.107695064402317,-0.0128628846118349,0.0576169938889499,0.0134256621305548
"CASH_ADVANCE_FREQUENCY",0.872986047410345,-0.0181921969466284,-0.00426141252251192,-0.120973148764653,0.141765230854736,0.00957489817037936,0.0710248057292098,-0.0165958849788321
"TENURE",-0.332051428976906,-0.230876670902815,0.0983125821522433,0.302715716537005,0.145624859025494,0.00191004484206021,0.114655712069603,0.236696066065915
"MONTHLY_AVG_PURCHASE",-0.00386851286485312,1.00341350850082,0.00955466955638487,-0.00746231089241838,-0.00890425113416012,0.0394659734369901,-0.049204135424791,0.020037756919642
"PURCHASES",-0.0430361805409517,0.949326099499359,0.0249124710091944,0.0309402140589511,0.00782300417749764,0.0459883991757939,-0.027283651927023,0.0620065974845807
"ONEOFF_PURCHASES",-0.0131519898227904,0.834156779318747,-0.0731070942537509,0.0136339312205715,-0.0301587015475521,-0.171877888044409,0.183725435944719,0.0144082998827028
"PURCHASES_TRX",-0.0413050355038165,0.470161276186324,0.444833561651507,0.0466694188521267,0.0534177347687495,0.117602061219396,0.137273530137334,0.0751497368643054
"INSTALLMENTS_PURCHASES",-0.0729368557507303,0.40534143454791,0.344616746976683,0.0747593142257933,0.0421956061680144,0.315502509708686,-0.140088626943144,0.138403269770523
"PURCHASES_FREQUENCY",-0.0158582184870554,0.128815191730502,0.879254623612219,-0.0421375435361597,-0.0182025974723628,0.0111629666268602,0.0216331934565512,0.0145294675634793
"PURCHASES_INSTALLMENTS_FREQUENCY",-0.0372314194097809,0.0484437604184904,0.773312511816788,-0.00801197090011194,0.0112624126285992,0.336779252699375,-0.126956071241861,0.0336264713960543
"PURCHASE_TYPE.none",0.125349493731299,-0.0411930353354085,-0.739669505719194,-0.0381435090891956,0.109713057529322,0.425369011450307,0.069005886526031,0.0277405679364862
"BALANCE",0.189729087641467,0.0586660139624326,-0.0491563977249606,0.728891776041996,0.274807104047265,0.0100135720619657,0.0219772326521812,-0.0971645508702235
"CREDIT_LIMIT",0.063983634420135,0.0576978531781712,0.00330131554014679,0.698728743080301,-0.34039599456899,-0.00571340923741046,0.12436068058598,0.107151892670925
"MINIMUM_PAYMENTS",0.0711499518392316,0.0656826091957152,0.00572179853197465,0.585612714045835,0.355729776869827,0.000134958716620451,-0.115738682298177,-0.0903711322718399
"LIMIT_USAGE",0.0297114108185163,-0.0179529243946262,-0.0289005732983842,0.0280890904441564,0.965062132239613,-0.023874716481081,0.01474938370349,-0.0300769684969483
"BALANCE_FREQUENCY",0.056649342129932,0.0123055612849018,0.266518825776546,0.0957713280085712,0.413578747412303,0.0409057092762853,0.167710777338024,-0.018265486005633
"PURCHASE_TYPE.oneoff",-0.00503593975962578,0.00713755437853406,7.523957227136e-05,-0.00124120645351963,0.0301256796030296,-0.93753628980417,-0.00956980809587876,0.0175927049680188
"PURCHASE_TYPE.installment",-0.0593397695872333,-0.0640949014392523,0.32486115198293,-0.0263547680209702,-0.0757329622565527,0.0865263322555921,-0.78486157804258,-0.0507218097506074
"PURCHASE_TYPE.oneoff_installment",-0.0400762466627077,0.0914203415318538,0.405607051191414,0.0617945346849327,-0.0479558086179907,0.285584985015782,0.633233226542294,0.0125389911293759
"ONEOFF_PURCHASES_FREQUENCY",-0.00793899161055994,0.406381824879784,0.249853792070427,0.00627723533954122,-0.034777703970459,-0.271521739913598,0.428293623943367,0.0377473259105765
"PAY_MINPAY",-0.0279170110569152,0.0107944924003676,-0.0421111490841785,-0.189774302028361,-0.0839199580954272,-0.02495274476083,0.0182097753514915,0.827289508224097
"PAYMENTS",0.1586065688251,0.134571291540757,0.0119820674886164,0.285704553546656,0.118396165842126,-0.0136528487234725,-0.013604516070489,0.683042814445231
"PRC_FULL_PAYMENT",-0.0571951102553264,0.0433341788285666,0.147034434785732,-0.155742482004388,-0.268632862874021,0.0380489182289716,-0.10063566855695,0.287774587036762
