"","Var_Type","n","nmiss"
"region","character","5000","0"
"townsize","character","5000","0"
"gender","character","5000","0"
"agecat","character","5000","0"
"edcat","character","5000","0"
"jobcat","character","5000","0"
"union","character","5000","0"
"empcat","character","5000","0"
"retire","character","5000","0"
"inccat","character","5000","0"
"default","character","5000","0"
"jobsat","character","5000","0"
"marital","character","5000","0"
"spousedcat","character","5000","0"
"homeown","character","5000","0"
"hometype","character","5000","0"
"address","character","5000","0"
"addresscat","character","5000","0"
"cars","character","5000","0"
"carown","character","5000","0"
"cartype","character","5000","0"
"carcatvalue","character","5000","0"
"carbought","character","5000","0"
"carbuy","character","5000","0"
"commute","character","5000","0"
"commutecat","character","5000","0"
"commutecar","character","5000","0"
"commutemotorcycle","character","5000","0"
"commutecarpool","character","5000","0"
"commutebus","character","5000","0"
"commuterail","character","5000","0"
"commutepublic","character","5000","0"
"commutebike","character","5000","0"
"commutewalk","character","5000","0"
"commutenonmotor","character","5000","0"
"telecommute","character","5000","0"
"reason","character","5000","0"
"polview","character","5000","0"
"polparty","character","5000","0"
"polcontrib","character","5000","0"
"vote","character","5000","0"
"card","character","5000","0"
"cardtype","character","5000","0"
"cardbenefit","character","5000","0"
"cardfee","character","5000","0"
"cardtenure","character","5000","0"
"cardtenurecat","character","5000","0"
"card2","character","5000","0"
"card2type","character","5000","0"
"card2benefit","character","5000","0"
"card2fee","character","5000","0"
"card2tenure","character","5000","0"
"card2tenurecat","character","5000","0"
"active","character","5000","0"
"bfast","character","5000","0"
"churn","character","5000","0"
"tollfree","character","5000","0"
"equip","character","5000","0"
"callcard","character","5000","0"
"wireless","character","5000","0"
"multline","character","5000","0"
"voice","character","5000","0"
"pager","character","5000","0"
"internet","character","5000","0"
"callid","character","5000","0"
"callwait","character","5000","0"
"forward","character","5000","0"
"confer","character","5000","0"
"ebill","character","5000","0"
"owntv","character","5000","0"
"ownvcr","character","5000","0"
"owndvd","character","5000","0"
"owncd","character","5000","0"
"ownpda","character","5000","0"
"ownpc","character","5000","0"
"ownipod","character","5000","0"
"owngame","character","5000","0"
"ownfax","character","5000","0"
"news","character","5000","0"
"response_01","character","5000","0"
"response_02","character","5000","0"
"response_03","character","5000","0"
