"","Decile","Min_prob","Max_prob","Bad_cnt","Good_cnt"
"1",10,0.612343221682707,0.803021030249598,2501,1499
"2",9,0.573985525130949,0.612342992089873,2401,1599
"3",8,0.546264251618623,0.573981431986975,2248,1752
"4",7,0.523146086412638,0.546262318675443,2191,1809
"5",6,0.500540207277951,0.523134043700611,2151,1849
"6",5,0.479229914356516,0.500539724196873,2010,1990
"7",4,0.456612497584405,0.479226013828126,1832,2168
"8",3,0.429051524057453,0.456612274952149,1719,2281
"9",2,0.387057522789088,0.429048991783554,1594,2406
"10",1,0.163596254161512,0.387042090415451,1353,2647
